"publication","disd","onEES","type","where"
"Characteristics of children in need","Yes","Yes","National","Find stats"
"Children looked after in England including adoptions","Yes","Yes","National","Find stats"
"Children's social work workforce","Yes","Yes","Official","Find stats"
"Outcomes for children in need, including children looked after by local authorities in England","Yes","Yes","National","Find stats"
"Outcomes of children in need, including looked after children","Yes","Yes","Official","Find stats"
"Children accommodated in secure children's homes","Yes","Yes","National","Find stats"
"Serious incident notifications","Yes","Yes","Official","Find stats"
"Attendance in education and early years settings during the coronavirus (COVID-19) outbreak","Yes","Yes","Official","Find stats"
"Coronavirus (COVID-19) Reporting in Higher Education Providers","No","Yes","Official","Find stats"
"Laptops and tablets data","No","Yes","Official","Find stats"
"COVID mass testing data in education","Yes","Yes","Official","Find stats"
"16-18 destination measures","Yes","Yes","Official","Find stats"
"Key stage 4 destination measures","Yes","Yes","Official","Find stats"
"Longer term destinations","Yes","Yes","Official","Find stats"
"Progression to higher education or training","Yes","Yes","Official","Find stats"
"NEET annual brief","Yes","Yes","National","Find stats"
"Participation in education and training and employment","Yes","Yes","Official","Find stats"
"Education provision: children under 5 years of age","Yes","Yes","National","Find stats"
"Early years foundation stage profile results","Yes","Yes","National","Find stats"
"Childcare and early years provider survey","No","No","Official","Find stats"
"Childcare and early years survey of parents","No","No","Official","Find stats"
"LA and school expenditure","Yes","Yes","Official","Find stats"
"Planned LA and school expenditure","Yes","No","Official","Find stats"
"School funding statistics","No","Yes","Official","Find stats"
"Student loan forecasts for England","No","Yes","Official","Find stats"
"FE choices learner satisfaction survey","Yes","No","Official","Find stats"
"Apprenticeships and traineeships","Yes","Yes","National","Find stats"
"Apprenticeships in England by industry characteristics","No","Yes","Official","Find stats"
"Further education and skills","Yes","Yes","National","Find stats"
"Further education: outcome-based success measures","No","Yes","Official","Find stats"
"Graduate labour market statistics","No","Yes","Official","Find stats"
"Graduate outcomes (LEO)","No","Yes","Official","Find stats"
"Graduate outcomes (LEO): postgraduate outcomes","No","Yes","Official","Find stats"
"Graduate outcomes (LEO): Provider level data","No","Yes","Official","Find stats"
"Participation measures in higher education","No","Yes","National","Find stats"
"Widening participation in higher education","No","Yes","Official","Find stats"
"Admission appeals in England","Yes","Yes","National","Find stats"
"Permanent and fixed-period exclusions in England","Yes","Yes","National","Find stats"
"Parental responsibility measures","Yes","Yes","Official","Find stats"
"Pupil absence in schools in England","Yes","Yes","National","Find stats"
"Pupil absence in schools in England: autumn and spring","Yes","No","National","Find stats"
"Pupil absence in schools in England: autumn term","Yes","Yes","National","Find stats"
"National pupil projections","Yes","Yes","Official","Find stats"
"Free school meals: Autumn term","Yes","Yes","Official","Find stats"
"Schools, pupils and their characteristics","Yes","Yes","National","Find stats"
"Secondary and primary school applications and offers","Yes","Yes","Official","Find stats"
"School places sufficiency survey","Yes","Yes","Official","Find stats"
"Local authority school places scorecards","Yes","Yes","Official","Find stats"
"School capacity","Yes","Yes","Official","Find stats"
"Education, health and care plans","Yes","Yes","National","Find stats"
"Special educational needs in England","Yes","Yes","National","Find stats"
"Special educational needs: analysis and summary of data sources","No","No","Official","Find stats"
"A level and other 16 to 18 results","Yes","Yes","National","Find stats"
"Level 2 and 3 attainment by young people aged 19","Yes","Yes","National","Find stats"
"Key stage 4 performance","Yes","Yes","National","Find stats"
"Multi-academy trust performance measures at key stage 4","Yes","No","Official","Find stats"
"Phonics screening check and key stage 1 assessments","Yes","No","National","Find stats"
"Multi-academy trust performance measures at key stage 2","Yes","Yes","Official","Find stats"
"National curriculum assessments at key stage 2","Yes","No","National","Find stats"
"Initial Teacher Training Census","No","Yes","Official","Find stats"
"Initial teacher training performance profiles","No","Yes","Official","Find stats"
"TSM and initial teacher training allocations","No","No","Official","Find stats"
"School workforce in England","Yes","Yes","National","Find stats"
"Education and training statistics for the UK","No","Yes","National","Find stats"
"FE learners going into employment and learning destinations by local authority district","No","Yes","Supplementary","Find stats"
"Prod testing","Yes","No","Testing","Admin"
"Key stage 2 to 4 transition matrices","Yes","No","Unknown","Admin"
"Pupil yield from housing developments","Yes","No","Unknown","Admin"
"KS4 performance","Yes","No","Unused","Admin"
"Secondary school mass testing",NA,"No","Testing","Admin"
"Academy transfers and funding","No","No","Unknown","Admin"
"16 to 18 multi-academy trust performance measures","Yes","No","Unused","Admin"
"Academy transfers and funding","No","Yes","Official","Find stats"
"Permanent exclusions and suspensions in England","Yes","Yes","National","Find stats"
